WL,K_CAR
255.4392068,0.151619697
256.9222468,0.155569623
258.4052867,0.15951955
259.8883266,0.163469476
260.9971447,0.163956726
261.4951839,0.167913576
262.851637,0.169389174
264.3332921,0.172349022
265.8135626,0.174318793
267.4167274,0.176122685
268.7713341,0.176278178
270.2488351,0.176267792
271.7263361,0.176257407
273.2038371,0.176247021
274.8023861,0.174750654
276.2771177,0.172760112
277.504676,0.17011125
278.4845993,0.16647404
279.4665998,0.164321947
280.4467539,0.160849751
281.4276004,0.157872593
282.4126011,0.15786567
282.6519276,0.152913549
283.6327741,0.149936391
284.6177748,0.149929467
284.8571013,0.144977346
285.7148228,0.142001054
286.5711595,0.138034684
287.3039095,0.133739153
288.2893717,0.134062256
288.6532081,0.130099347
289.5081601,0.125142899
290.8542277,0.119192911
290.8597666,0.123153223
292.2051418,0.116708196
293.0874668,0.112458761
293.8863415,0.108280633
294.1696042,0.112734037
295.266306,0.104558104
295.2708064,0.107775858
296.7386143,0.100834927
296.7434608,0.1043002
298.2105764,0.096864229
298.215423,0.100329502
299.322164,0.099331635
299.8082023,0.094707809
301.0380684,0.093709077
302.0200689,0.091556984
303.3722235,0.089959214
304.846955,0.087968673
306.3203884,0.085049933
306.3250619,0.088391446
307.7991011,0.085905866
309.2739192,0.083977204
310.6406595,0.084004726
311.2277827,0.081228353
312.4723154,0.081912667
313.5161091,0.079925154
314.6857974,0.079916932
315.7295912,0.07792942
317.0224046,0.077920333
318.4999056,0.077909947
319.9774066,0.077899562
321.4549076,0.077889177
322.9324087,0.077878791
324.3311535,0.078151841
325.8901801,0.079838176
327.3676812,0.079827791
328.766426,0.080100841
330.3247603,0.081292137
331.8029537,0.081776791
333.2804547,0.081766405
334.7863178,0.083170231
336.2382261,0.08372579
337.7157272,0.083715405
339.1932282,0.083705019
340.6707292,0.083694634
342.1482302,0.083684248
343.6257312,0.083673863
344.9938044,0.084654335
346.5835027,0.085633248
348.0610037,0.085622863
349.5385047,0.085612477
351.0160057,0.085602092
352.4935068,0.085591706
353.8922516,0.085864757
355.4512782,0.087551092
356.850023,0.087824142
358.4090497,0.089510477
359.3324878,0.089503986
359.9689666,0.09183329
361.3708023,0.094316336
362.4780626,0.093689748
362.9780635,0.099049209
363.9635258,0.099372311
364.4611034,0.102999136
365.4465657,0.103322238
365.9441433,0.106949062
367.2750696,0.10903775
368.1705495,0.114194056
368.5959484,0.110230715
369.4649784,0.11534006
369.6116933,0.119629409
370.6396286,0.118879617
371.0765669,0.123166926
371.8836882,0.128029184
372.3090871,0.124065843
373.1781171,0.129175188
373.3248319,0.133464537
374.3527673,0.132714746
