WL,K_CAR
260.9769746,0.12379199
261.9509084,0.122568084
262.4431802,0.125785605
263.7215469,0.124235847
263.8668571,0.1285199
264.8860578,0.128531817
265.3793564,0.132490527
266.3550015,0.132501936
266.7263444,0.136459219
267.5855099,0.140422207
268.561155,0.140433615
269.0530846,0.143404074
269.7916635,0.148353887
270.3959656,0.144408012
271.1331755,0.148369573
271.1386515,0.152322579
271.997817,0.156285567
272.6021192,0.152339692
272.9734621,0.156296975
273.4667607,0.160255685
274.4424058,0.160267093
274.8137488,0.164224377
274.8192248,0.168177382
275.5564347,0.172138944
276.1598242,0.167534235
276.2936445,0.176100506
277.0212713,0.173144308
277.15281,0.180063494
277.8927579,0.186001559
278.1284551,0.180074902
278.6327058,0.191939623
278.868403,0.186012967
279.250698,0.197876262
279.6056129,0.189974529
279.9783248,0.194920064
279.9865389,0.200849572
280.1153395,0.205792255
280.8552874,0.21173032
281.0889311,0.204321286
281.4732796,0.217666958
281.8281945,0.209765225
281.8336705,0.213718231
282.2104895,0.22162852
282.2159655,0.225581525
282.5708804,0.217679792
283.075131,0.229544513
283.6787487,0.225104512
284.0507761,0.229555922
284.5317422,0.233415664
285.8878969,0.235197992
287.3537604,0.236944544
288.819196,0.238382268
289.3023867,0.243847919
289.9320269,0.249389399
289.937503,0.253342405
289.942979,0.25729541
290.1019548,0.24000315
290.4758076,0.245772228
290.5951964,0.287938333
290.6801888,0.261256972
290.6856649,0.265209978
290.6911409,0.269162983
290.6966169,0.273115989
291.0296277,0.249402234
291.0351037,0.253355239
291.4331423,0.276583425
291.4386183,0.28053643
291.4550464,0.292395447
291.4605224,0.296348453
291.5297713,0.2583022
291.5676471,0.285643822
291.5895512,0.301455844
291.7818966,0.264234561
291.7873726,0.268187566
291.976923,0.272966254
292.2079998,0.3077219
292.5314275,0.277090385
292.5369035,0.281043391
292.5500802,0.29055531
292.5574386,0.295867161
292.5629147,0.299820167
293.0562132,0.303778876
293.0671653,0.311684888
294.3939605,0.301076872
294.3994365,0.305029877
294.4049126,0.308982883
294.4103886,0.312935888
295.1829074,0.29836845
295.4987485,0.306278026
295.5042246,0.310231031
295.7380166,0.294125529
295.8594817,0.302576361
296.2094339,0.291092217
296.2202148,0.298874697
296.5696537,0.287019958
296.9464726,0.294930248
297.1239301,0.290979381
297.1725868,0.282085832
297.6672544,0.287032793
297.8815039,0.265623532
298.0098482,0.270236798
298.0153243,0.274189803
298.1441249,0.279132486
298.6950359,0.236644807
298.7005119,0.240597813
298.7059879,0.244550818
298.7114639,0.248503824
298.71694,0.252456829
298.722416,0.256409835
298.8512167,0.261352518
299.103342,0.267284878
299.108818,0.271237883
299.114294,0.275190889
299.4021276,0.218864838
299.4076036,0.222817844
299.4130796,0.22677085
299.5418803,0.231713532
299.7940056,0.237645893
299.7994816,0.241598898
299.8049577,0.245551904
299.8104337,0.249504909
299.8159097,0.253457915
299.8213857,0.25741092
300.1105883,0.202073121
300.1160643,0.206026127
300.1215404,0.209979132
300.1270164,0.213932138
300.4983593,0.217889422
300.5038354,0.221842427
300.5093114,0.225795433
300.5147874,0.229748438
300.5202634,0.233701444
300.6970934,0.185279978
300.8258941,0.190222661
300.8313701,0.194175667
300.8368461,0.198128672
301.2081891,0.202085956
301.2136651,0.206038961
301.2191411,0.209991967
301.5302478,0.17046619
301.5357238,0.174419195
301.5411998,0.178372201
301.5466759,0.182325206
301.9180188,0.18628249
301.9234948,0.190235496
301.9289708,0.194188501
302.1277049,0.161579058
302.2565056,0.166521741
302.6278485,0.170479024
302.6333246,0.17443203
302.6388006,0.178385035
302.8484867,0.153681603
302.9772874,0.158624286
303.3486303,0.162581569
303.3541063,0.166534575
303.6925931,0.146773826
303.6980692,0.150726831
304.0694121,0.154684115
304.5408066,0.142830802
304.7929319,0.148763163
305.1444243,0.138390801
305.6980162,0.141856098
306.6843363,0.136997043
307.9535224,0.13259306
308.0686216,0.136448524
309.5279822,0.133500882
310.9873429,0.130553241
310.9921344,0.134012121
312.4521796,0.131558605
313.9156472,0.131575717
315.3791149,0.13159283
316.8398445,0.12963344
318.2992052,0.126685798
318.3039967,0.130144678
319.6400327,0.126207359
320.6120272,0.12358343
321.399491,0.119804403
322.0335975,0.115364758
322.6786562,0.118831125
323.3977267,0.109698356
323.5255006,0.11389985
324.8529803,0.10378596
324.8581141,0.107491903
324.8635901,0.111444908
325.9543458,0.106516486
326.0244341,0.100517305
326.7088394,0.096544131
327.2275787,0.101260785
327.5870569,0.096653224
327.88647,0.092703783
328.6104461,0.087112248
328.8621151,0.092715192
329.9473948,0.083833764
329.9528708,0.087786769
331.2852561,0.081214113
332.2577069,0.078919602
333.5971654,0.077452911
335.0606331,0.077470024
336.5241008,0.077487136
337.9885952,0.078245438
339.0844847,0.077022958
339.5764142,0.079993416
340.9182685,0.080256165
342.014158,0.079033686
342.5074566,0.082992395
343.4803637,0.081027301
343.9722933,0.083997759
344.9465694,0.083020916
345.438499,0.085991375
346.7803532,0.086254124
348.2465589,0.088247739
349.7117379,0.089500166
351.1762323,0.090258467
352.6414112,0.091510894
354.1076169,0.093504509
355.2045331,0.093023218
355.6964627,0.095993676
356.9758561,0.095185107
357.1644937,0.09930496
358.1386558,0.098245763
358.5884476,0.102239258
359.7361719,0.106993855
359.9141998,0.10345476
360.8962336,0.108078009
361.1937643,0.111573253
362.5451446,0.109909054
362.5506206,0.11386206
364.0075855,0.109184978
364.0120348,0.112396795
365.4686574,0.107472651
365.4741334,0.111425657
366.8930742,0.105710483
366.9355476,0.109960392
368.1331885,0.102957925
368.3330178,0.106353203
369.484295,0.101096077
370.3989622,0.101106772
370.6983753,0.097157332
372.0337268,0.092725887
372.0385183,0.096184767
373.4944565,0.090766497
373.499248,0.094225377
374.9592932,0.091771861
376.4227608,0.091788973
377.3374281,0.091799669
377.9676599,0.093995274
379.1690444,0.093468145
379.4661644,0.096666914
380.8199233,0.096719802
382.1009994,0.097125959
382.4115927,0.101247238
383.47802,0.10076559
383.8675194,0.104624263
384.6177463,0.109178918
385.1612988,0.105397038
385.4090889,0.108199936
386.0237727,0.1117483
386.82139,0.115298803
387.5583717,0.119095657
388.2955815,0.123057219
388.9122047,0.128005606
389.2725956,0.124056878
389.6494146,0.131967167
390.0098055,0.12801844
390.3866245,0.135928729
391.1149358,0.133466657
391.24579,0.139891717
392.2221196,0.140397251
392.7161027,0.144850087
393.4533125,0.148811648
394.1918914,0.153761462
394.4289576,0.148823057
395.168221,0.154266996
395.6622041,0.158719831
396.3994139,0.162681393
397.1379928,0.167631206
397.3750591,0.162692801
398.1143224,0.16813674
398.6083055,0.172589576
399.3468844,0.177539389
399.5839506,0.172600984
400.3225295,0.177550797
400.6938724,0.181508081
400.6993485,0.185461086
401.4365583,0.189422648
401.7969492,0.185473921
402.1737682,0.19338421
402.5341591,0.189435482
402.910978,0.197345772
403.6392894,0.1948837
403.7701435,0.20130876
404.3881358,0.207245398
404.7485267,0.203296671
405.2459323,0.210220134
405.8625555,0.215168522
406.2229464,0.211219794
406.6052414,0.223083089
406.720352,0.218143258
407.4644069,0.227046077
407.7014731,0.222107672
