WL,K_CHL
563.1378118,0.990525845
564.2586388,1.002766588
565.5587982,1.014493407
566.9649267,1.026432591
568.4101822,1.034704649
569.7013749,1.047319155
571.265409,1.059765468
572.8793999,1.066373066
574.1518055,1.074435671
574.3012491,1.06481127
575.8479904,1.08383815
577.2333326,1.091722217
577.3947317,1.085835447
578.6820816,1.098329815
580.2960725,1.105778381
581.967706,1.10994317
583.485626,1.115389433
585.1956879,1.120315097
586.8096788,1.12662235
588.4236697,1.126482189
590.0987967,1.129229348
591.6516516,1.13489186
593.4001418,1.13608323
594.778759,1.140708549
594.4761357,1.13377057
596.4936244,1.149468622
598.1076153,1.158859421
599.6604702,1.165574416
601.4316681,1.177981411
602.8884521,1.184916659
604.2945805,1.198104552
605.4781739,1.209793994
606.876966,1.217446794
608.5985563,1.225015498
609.4728014,1.235107103
611.0387569,1.240573389
612.7680329,1.248422415
614.1130254,1.252767411
615.9226516,1.258080794
617.4755065,1.263699983
619.0894974,1.263699983
620.7034883,1.263559822
622.3174793,1.263699983
623.8238708,1.267652529
625.6799604,1.273896709
627.2555229,1.28214119
628.6658436,1.288928996
629.9570363,1.304352332
631.3558285,1.313569331
632.8084203,1.329850454
634.1534128,1.342330405
635.5595412,1.363507485
635.3639059,1.350571882
637.0047967,1.374875831
638.284461,1.401077962
638.1547653,1.387511361
639.6947816,1.409103191
640.923208,1.427006445
642.4923659,1.439882586
644.2408561,1.446460817
645.0478515,1.45920614
645.1823508,1.444507905
646.4197438,1.468980046
647.8723357,1.486388065
649.2173281,1.503291503
650.6295702,1.53901158
650.4875987,1.517064675
650.2933221,1.529025096
651.7728137,1.552782416
653.0025211,1.564826265
653.1178062,1.574437318
653.96323,1.585490028
654.5972979,1.60605768
654.8662964,1.592938593
655.8974572,1.622933086
657.0182843,1.633305013
657.3484188,1.6573108
657.2872828,1.640873717
658.7936743,1.66887792
660.0221007,1.685818735
661.5912586,1.697919317
663.2724991,1.70667939
664.5502419,1.718347808
664.8192404,1.714037852
666.3755888,1.718963516
667.9511514,1.71680103
669.6612132,1.713056724
670.8332781,1.702384451
671.8132011,1.690350613
672.6394108,1.677635992
673.7538331,1.664180518
673.615491,1.648947001
674.0996883,1.638350815
674.7721845,1.627978888
674.9835405,1.613001665
675.57918,1.600402176
676.4130753,1.589070145
676.3861754,1.577801186
676.3861754,1.567709581
676.3861754,1.557617976
676.5206747,1.546349017
677.1355284,1.534791727
677.8656671,1.52330652
678.0270662,1.510692013
677.9194668,1.498918474
678.4036641,1.488826869
678.896828,1.477445782
679.3899919,1.464270631
679.3451588,1.451656125
679.4796581,1.44156452
680.017655,1.431472915
680.5108189,1.419979698
680.7477938,1.404682107
680.6901512,1.390686012
680.6901512,1.380594407
680.6901512,1.370502802
680.6901512,1.360411197
680.6094517,1.349730915
681.093649,1.340648471
681.7325204,1.328244206
682.0351437,1.315419459
682.0351437,1.305327854
681.9544441,1.294058895
682.3938083,1.282201259
682.9318053,1.269586753
683.4249692,1.256551763
683.3801361,1.243937257
683.3801361,1.233845652
683.3801361,1.223754047
683.3801361,1.213662442
683.2994366,1.203066257
683.7836339,1.192157713
684.3216308,1.18204208
684.7699617,1.170212477
684.7251286,1.157738132
684.644429,1.146721463
685.0837932,1.13489186
685.6217902,1.122697837
686.1149541,1.109662848
686.070121,1.097188503
686.070121,1.087096898
686.070121,1.077005293
685.9894215,1.066156818
686.4736188,1.054599527
687.0116157,1.043955287
687.4599465,1.032013554
687.4151135,1.019399048
687.5496127,1.008802863
688.0876097,0.998038484
688.6256067,0.988115073
688.7601059,0.977771178
688.6794064,0.966418122
689.1251753,0.954524445
689.9705991,0.943151367
690.1319982,0.929751958
690.1050983,0.918482999
690.1050983,0.908391394
690.2395976,0.898131596
691.1618781,0.887967908
691.7997888,0.875930065
691.6383897,0.864324719
692.122587,0.855578662
692.7143837,0.845487057
693.1089148,0.833545325
693.0640817,0.820930818
693.198581,0.810138408
694.1208615,0.799426089
694.3514316,0.783808129
694.9470711,0.771103519
695.7809665,0.759876609
695.7540666,0.74860765
695.8501375,0.736353558
696.9197267,0.7260417
697.3232245,0.710857572
698.4440515,0.694575515
698.9820485,0.680629478
699.8787101,0.6689961
700.0580424,0.655540627
701.1340364,0.642015073
701.6720333,0.628489519
702.568695,0.616856142
702.7480273,0.603400668
704.0481867,0.589851754
705.3931791,0.573406176
706.7023051,0.561744766
707.3210016,0.551400871
708.3969956,0.53826076
709.3384903,0.525471053
710.279985,0.514538481
711.1061946,0.503645955
712.3463825,0.488825275
712.1629744,0.502204297
713.7321322,0.478376896
715.1892074,0.464886383
716.4221171,0.452961003
717.7671096,0.443897246
719.1761493,0.43240403
718.8879366,0.441654668
720.5019275,0.423153392
721.7662204,0.415080108
722.384917,0.408015985
723.9989079,0.40395131
725.048002,0.396915219
726.285395,0.3931589
727.7841009,0.386150841
729.020213,0.37900262
730.3203724,0.374751065
732.0688625,0.371994561
732.8950722,0.364766249
734.4898489,0.364425858
736.1038399,0.363865213
737.1798338,0.357242597
738.7938248,0.356016187
740.4078157,0.356016187
742.0218066,0.356016187
743.578155,0.352512158
744.1468947,0.346961775
745.7877854,0.347606516
747.4017764,0.347746678
749.0157673,0.347466355
750.6297582,0.347746678
752.2437492,0.347466355
753.8577401,0.347466355
755.471731,0.347466355
757.085722,0.347606516
758.6997129,0.347466355
760.3137038,0.347466355
761.9276948,0.347466355
763.5416857,0.347606516
765.1364624,0.345303868
765.9626721,0.338636201
767.576663,0.339056684
769.1906539,0.339056684
770.8046449,0.339196846
772.4186358,0.339056684
774.0326267,0.339056684
775.6466177,0.339056684
777.2606086,0.339196846
778.8745995,0.339056684
780.4885905,0.339196846
782.1025814,0.339056684
783.7165723,0.339196846
785.3305632,0.339056684
786.9445542,0.339196846
788.5585451,0.339056684
790.172536,0.339196846
791.786527,0.339056684
793.4005179,0.339196846
795.0145088,0.339056684
796.6284998,0.339196846
798.2424907,0.339056684
799.8564816,0.339196846
801.4704726,0.339056684
803.0844635,0.339196846
804.6984544,0.339196846
806.3124453,0.339056684
807.9264363,0.339056684
809.5404272,0.339196846
811.1544181,0.339056684
812.7684091,0.339196846
814.3824,0.339056684
815.9963909,0.339196846
817.6103819,0.339056684
819.2243728,0.339196846
820.8383637,0.339056684
822.4523547,0.339196846
824.0663456,0.339056684
825.6803365,0.339196846
827.2943274,0.339056684
828.9083184,0.339196846
830.5223093,0.339056684
832.1363002,0.339196846
833.7502912,0.339056684
835.3642821,0.339196846
836.978273,0.339056684
838.592264,0.339196846
840.2062549,0.339056684
841.8202458,0.339196846
843.4342367,0.339056684
845.0482277,0.339196846
846.6622186,0.339056684
848.2762095,0.339196846
849.8902005,0.339196846
851.5041914,0.339056684
853.1181823,0.339056684
854.7321733,0.339196846
856.3461642,0.339056684
857.9601551,0.339196846
859.5741461,0.339056684
861.188137,0.339196846
862.8021279,0.339056684
864.4161188,0.339196846
866.0301098,0.339056684
867.6441007,0.339196846
869.2580916,0.339056684
870.8720826,0.339196846
872.4860735,0.339056684
874.1000644,0.339196846
875.7140554,0.339056684
877.3280463,0.339196846
878.9420372,0.339056684
880.5560282,0.339196846
882.1700191,0.339056684
883.78401,0.339056684
885.3980009,0.339056684
887.0119919,0.339196846
888.6259828,0.339056684
890.2399737,0.339196846
891.8539647,0.339056684
893.4679556,0.339196846
895.182821,0.336701977
896.2924397,0.332959673
897.314634,0.336029203
897.7450316,0.32997424
899.3859223,0.330787175
900.9999133,0.330647014
902.6139042,0.330787175
904.2278951,0.330647014
905.8418861,0.330787175
907.455877,0.330647014
909.0698679,0.330647014
910.6838589,0.330647014
912.2978498,0.330787175
913.9118407,0.330647014
915.5258316,0.330647014
917.1398226,0.330787175
918.7538135,0.330647014
920.3678044,0.330647014
921.9817954,0.330647014
923.5957863,0.330647014
925.2097772,0.330647014
926.8237682,0.330647014
928.4377591,0.330647014
930.05175,0.330647014
931.726877,0.333169915
933.1721325,0.333506302
935.0282221,0.332328948
936.5077137,0.333450237
938.1217047,0.333450237
939.6745596,0.33393443
941.3496865,0.339056684
942.9636775,0.339056684
944.5776684,0.339196846
946.1916593,0.339056684
947.8056503,0.339056684
949.4196412,0.339056684
951.0336321,0.339196846
952.6476231,0.339056684
954.261614,0.339056684
955.8756049,0.339056684
957.4895958,0.339196846
959.1035868,0.339056684
960.7175777,0.339056684
962.3315686,0.339337007
963.9455596,0.339056684
965.5595505,0.339056684
967.1735414,0.339056684
968.7875324,0.339056684
970.4015233,0.339056684
972.0155142,0.339196846
973.6295052,0.339196846
975.2434961,0.339056684
976.857487,0.339196846
978.4714779,0.339056684
980.0854689,0.339056684
981.6994598,0.339056684
983.3134507,0.339196846
984.9274417,0.339056684
986.5414326,0.339196846
988.1554235,0.336253461
989.7694145,0.330927336
991.3834054,0.330787175
992.9973963,0.330647014
994.6113872,0.330647014
996.2253782,0.330787175
997.8393691,0.330647014
999.45336,0.330647014
1001.067351,0.330647014
1002.681342,0.330787175
1004.295333,0.330647014
1005.909324,0.330647014
1007.523315,0.330787175
1009.137306,0.330787175
1010.751297,0.330647014
1012.365287,0.330787175
1013.979278,0.330647014
1015.593269,0.330647014
1017.20726,0.330787175
1018.821251,0.330787175
1020.435242,0.330647014
1022.049233,0.330787175
1023.663224,0.330647014
1025.277215,0.330647014
1026.891206,0.330787175
1028.505197,0.330787175
1030.119188,0.329665885
1031.733179,0.324760244
1033.310488,0.325876437
1034.961161,0.324760244
1036.575151,0.324900405
1038.189142,0.325320889
1039.707062,0.323558863
1041.355988,0.325371857
1043.031115,0.322657826
1044.779605,0.324666803
1046.124598,0.323709035
1047.934224,0.324836696
1049.548215,0.324760244
1051.158712,0.328244251
1052.84956,0.323709035
1054.194552,0.324573363
1055.378146,0.322405536
1056.750038,0.324900405
1058.22953,0.324666803
1060.085619,0.324928438
1061.49594,0.322597757
1063.267138,0.324530889
1064.819993,0.323218471
1066.433984,0.322237343
1068.155574,0.324171567
1069.527466,0.323709035
1071.337092,0.324836696
1072.986018,0.322717896
1074.396339,0.324928438
1076.117929,0.322377504
1077.73192,0.322377504
1079.45351,0.324928438
1080.959902,0.324620083
1082.573893,0.323218471
1084.187884,0.322237343
1085.801875,0.322237343
1087.415866,0.322237343
1089.029857,0.322237343
1090.643848,0.324620083
1092.221157,0.324989599
1093.76423,0.324339761
1095.48582,0.326582339
1097.099811,0.329806047
1097.772308,0.322636802
1099.215118,0.325677663
1100.462292,0.324900405
