WL,K_CAR
416.4129436,0.402299495
416.7288939,0.394393612
417.0629848,0.406252436
417.066613,0.410205378
417.0702411,0.414158319
417.1906751,0.427993614
417.3825632,0.402299495
417.7202823,0.418111261
417.7239104,0.422064202
417.7347948,0.433923026
417.738423,0.437875968
417.7420511,0.441828909
418.0398607,0.414158319
418.0507451,0.426017143
418.0543732,0.429970085
418.3911853,0.444793616
418.3948134,0.448746557
418.3984415,0.452699498
418.5107122,0.457640675
418.7107636,0.440840674
419.054832,0.463570088
419.0584601,0.467523029
419.0620882,0.471475971
419.3707822,0.455664205
419.3744103,0.459617146
419.7121294,0.475428912
419.7157576,0.479381853
419.7193857,0.483334795
419.7230138,0.487287736
420.0317078,0.471475971
420.372148,0.490252443
420.3757761,0.494205384
420.4880468,0.499146561
420.6917264,0.486299501
421.0312595,0.504087738
421.0348876,0.508040679
421.1471583,0.512981856
421.3499309,0.499146561
421.6901443,0.517675974
421.6937724,0.521628916
421.8059675,0.526487739
422.0088156,0.512734797
422.3276835,0.543221858
422.3524304,0.534970093
422.3560586,0.538923035
422.4033503,0.531758328
422.6690609,0.527805387
423.0095011,0.546581859
423.0131293,0.5505348
423.0167574,0.554487742
423.1290281,0.559428919
423.3281725,0.541640682
423.6731478,0.565358331
423.676776,0.569311272
423.6804041,0.573264214
423.6840322,0.577217155
423.9913657,0.559923036
424.3331664,0.580181861
424.3367945,0.584134803
424.4490652,0.58907598
424.6504772,0.573758331
424.9931849,0.595005392
424.9968131,0.598958333
425.3114028,0.589570097
425.6459472,0.601923039
425.7582179,0.606864216
426.3023377,0.612793629
426.9464831,0.61032304
427.0601144,0.61674657
427.9219984,0.61674657
428.3556616,0.619711276
429.4324119,0.619052453
430.2918773,0.616417158
430.9346622,0.612464217
431.3595573,0.605875981
431.7950345,0.610817158
431.9981094,0.597311274
432.2187203,0.602911275
432.7401642,0.584134803
432.7437923,0.588087744
432.856063,0.593028921
433.2733995,0.578205391
433.7088767,0.583146567
433.7125048,0.587099509
434.0175707,0.567334801
434.0211988,0.571287743
434.0248269,0.575240684
434.6567274,0.559428919
434.6603556,0.56338186
434.9871902,0.567334801
435.186637,0.549875977
435.4072479,0.555475977
435.9361748,0.544852447
436.6846544,0.538675976
436.9046606,0.543617153
437.7577766,0.534064211
437.869745,0.538675976
439.1576958,0.533364211
439.2582632,0.537292446
440.3562583,0.536304211
440.5113813,0.540981858
441.20494,0.545395976
441.4270576,0.540899505
441.7604682,0.552017153
441.81872,0.556793624
441.8377551,0.548187741
442.4177657,0.563875978
442.4213938,0.567828919
442.4684588,0.560417154
442.4956411,0.573264214
442.786979,0.555311271
443.0805053,0.581664214
443.0841335,0.585617156
443.0877616,0.589570097
443.1311985,0.578205391
443.1460134,0.594346568
443.3898796,0.566593625
443.3928275,0.56980539
443.3964556,0.573758331
443.675036,0.630779512
443.7450591,0.601428922
443.7486872,0.605381863
443.7523154,0.609334805
443.7559435,0.613287746
443.7758982,0.635028924
443.7957522,0.597970098
443.8301907,0.618723041
443.83415,0.639805395
444.0562474,0.588334803
444.0918485,0.627123041
444.1138189,0.592370098
444.4127572,0.659833632
444.433876,0.647628925
444.4375041,0.651581867
444.4411323,0.655534808
444.4666552,0.624652453
444.4847959,0.64441716
444.7251095,0.612793629
444.7287377,0.61674657
444.7323658,0.620699511
444.7455178,0.635028924
444.7505065,0.640464219
445.0954819,0.664181868
445.09911,0.668134809
445.1027381,0.672087751
445.1063663,0.676040692
445.1099944,0.679993634
445.1136225,0.683946575
445.4100716,0.654793632
445.4150602,0.660228926
445.4404572,0.687899517
445.4440853,0.691852458
445.4477135,0.6958054
445.4513416,0.699758341
445.4549697,0.703711283
446.0680493,0.667393633
446.0709971,0.670605398
446.0746253,0.674558339
446.0782534,0.678511281
446.1036504,0.706181871
446.1072785,0.710134813
446.1109067,0.714087754
446.1145348,0.718040695
446.1365052,0.683287752
446.2266543,0.722817166
446.5728894,0.689217164
446.5762152,0.692840694
446.5798433,0.696793635
446.5834715,0.700746576
446.7704717,0.728417167
446.7740998,0.732370108
446.9103061,0.704699518
446.9139343,0.708652459
447.2398619,0.711617166
447.2437924,0.715899519
447.2474205,0.71985246
447.423234,0.735334814
447.4268621,0.739287756
447.4304903,0.743240697
447.4341184,0.747193639
447.4377465,0.75114658
447.4461215,0.725057167
447.5500172,0.756087757
447.7419053,0.730393638
448.094137,0.762017169
448.0977651,0.765970111
448.1013932,0.769923052
448.1050214,0.773875994
448.1086495,0.777828935
448.2221296,0.784087759
448.2416812,0.746699521
448.4100872,0.754111287
448.4137153,0.758064228
448.4594198,0.74917011
448.7650399,0.788699524
448.7686681,0.792652466
448.7722962,0.796605407
448.7759243,0.800558349
448.7795525,0.80451129
448.8918232,0.809452467
448.9116771,0.772393641
448.913592,0.833170116
449.0800831,0.779805406
449.0837113,0.783758348
449.1294157,0.774864229
449.4350359,0.814393644
449.438664,0.818346586
449.4422921,0.822299527
449.4568047,0.838111293
449.4604328,0.842064234
449.464061,0.846017176
449.4676891,0.849970117
449.4713172,0.853923059
449.5545628,0.827240704
449.5816731,0.79808776
449.5835879,0.858864236
449.7500791,0.805499526
449.7537072,0.809452467
449.775476,0.833170116
449.7994117,0.800558349
450.1277077,0.864793648
450.1313358,0.868746589
450.1349639,0.872699531
450.1385921,0.876652472
450.1422202,0.880605414
450.2512155,0.823287762
450.3854062,0.852111294
450.4173539,0.828228939
450.4436579,0.856887765
450.4472861,0.860840707
450.7913544,0.88357012
450.7949825,0.887523062
