WL,K_LMA
452.6678697,0.157459213
454.1829071,0.156714555
455.6979446,0.155820965
456.7079695,0.15537417
458.7280194,0.154033785
459.7380444,0.154033785
461.2530819,0.151948741
462.7681193,0.152693399
464.7881692,0.150608356
466.3032067,0.149565834
467.8182441,0.148672244
469.3332816,0.148821176
470.3433065,0.149119039
471.858344,0.146587201
473.1208752,0.146885064
475.3934313,0.144948952
476.9084688,0.145097884
478.4235062,0.144055362
479.9385437,0.143310704
481.2010749,0.143087306
483.473631,0.141076728
484.7361622,0.141970318
487.5137309,0.139885275
489.0287683,0.139885275
490.0387933,0.140183138
492.5638557,0.137502368
494.0788932,0.137800231
495.3414244,0.137502368
497.108968,0.136013051
498.6240055,0.136013051
500.1390429,0.135566256
501.6540804,0.134672666
503.1691178,0.134374803
504.6841553,0.134374803
506.1991927,0.133779076
507.7142302,0.133183349
509.2292676,0.132587622
510.744305,0.132587622
512.2593425,0.132438691
514.7844049,0.130949374
516.2994423,0.130800442
517.8144798,0.130800442
518.8245048,0.130800442
522.3595921,0.128715399
523.8746296,0.129013262
525.389667,0.128715399
526.9047045,0.128268604
528.4197419,0.127672877
529.9347793,0.127226082
531.4498168,0.12707715
532.9648542,0.126481424
534.4798917,0.12618356
535.9949291,0.125438902
537.5099666,0.125438902
539.025004,0.125438902
540.2875352,0.125438902
542.0550789,0.123353858
543.5701164,0.123651722
545.0851538,0.123651722
546.6001912,0.123651722
548.1152287,0.123651722
549.6302661,0.122758132
551.1453036,0.122460268
552.660341,0.121864541
554.1753785,0.121864541
555.6904159,0.121864541
557.2054534,0.121566678
558.7204908,0.120970951
560.2355282,0.120524156
561.7505657,0.11992843
563.2656031,0.11992843
564.7806406,0.120077361
566.295678,0.120077361
567.8107155,0.119332703
569.3257529,0.118588044
570.8407904,0.117992318
572.3558278,0.117843386
573.8708652,0.118290181
575.3859027,0.118290181
576.9009401,0.117843386
578.4159776,0.117396591
579.931015,0.117098728
581.4460525,0.116503001
582.9610899,0.116503001
584.4761274,0.116503001
585.9911648,0.116503001
587.5062022,0.116503001
589.0212397,0.116205138
590.5362771,0.115609411
592.0513146,0.115162616
593.566352,0.114864752
595.0813895,0.114715821
596.5964269,0.114715821
598.1114644,0.115162616
599.6265018,0.115162616
601.1415392,0.114566889
602.6565767,0.113971162
604.1716141,0.113822231
605.6866516,0.113077572
607.201689,0.112928641
608.7167265,0.112928641
610.2317639,0.112928641
611.7468014,0.112928641
613.2618388,0.112928641
614.7768762,0.112928641
616.2919137,0.112928641
617.3019387,0.112481846
619.3219886,0.110843597
620.837026,0.11114146
622.3520635,0.11114146
623.8671009,0.11114146
625.3821384,0.11114146
626.8971758,0.110992529
628.4122133,0.110694665
629.9272507,0.110992529
631.4422881,0.110545734
632.9573256,0.11024787
634.472363,0.109801075
635.9874005,0.109652144
637.5024379,0.109503212
639.0174754,0.10935428
640.5325128,0.10935428
642.0475503,0.10935428
643.5625877,0.10935428
645.0776251,0.10935428
646.5926626,0.10935428
648.1077,0.10935428
649.6227375,0.108758553
651.1377749,0.10846069
652.6528124,0.10846069
653.9153436,0.10846069
656.1878997,0.108013895
658.2079497,0.107716032
659.7229871,0.1075671
661.2380246,0.1075671
662.753062,0.1075671
664.2680994,0.1075671
665.7831369,0.1075671
667.2981743,0.107418168
668.8132118,0.106971373
670.3282492,0.106822442
671.8432867,0.106524578
673.3583241,0.106077783
674.8733616,0.105630988
676.388399,0.105333125
677.9034364,0.105482056
679.4184739,0.10577992
680.9335113,0.10577992
682.4485488,0.10577992
683.9635862,0.10577992
685.4786237,0.105630988
686.9936611,0.10577992
688.5086986,0.10577992
690.023736,0.10577992
691.5387734,0.10577992
693.0538109,0.105035261
694.5688483,0.104737398
696.0838858,0.10399274
697.5989232,0.10399274
699.1139607,0.10399274
700.6289981,0.10399274
702.1440356,0.103843808
703.659073,0.10399274
705.1741104,0.10399274
706.6891479,0.10399274
708.2041853,0.10399274
709.7192228,0.103843808
711.2342602,0.103545945
712.7492977,0.103397013
714.2643351,0.103545945
715.2743601,0.103545945
719.3144599,0.102652355
720.8294974,0.102652355
722.3445348,0.102205559
723.8595723,0.102205559
725.3746097,0.102205559
726.8896472,0.102354491
728.4046846,0.102205559
729.919722,0.102205559
731.4347595,0.102205559
732.9497969,0.102205559
734.4648344,0.102354491
735.9798718,0.102652355
737.4949093,0.102652355
739.0099467,0.102056628
740.5249842,0.101311969
742.0400216,0.101311969
743.555059,0.101014106
745.0700965,0.100567311
746.5851339,0.100418379
748.1001714,0.100418379
749.6152088,0.100418379
751.1302463,0.100567311
752.6452837,0.100865174
754.1603212,0.100865174
755.6753586,0.100418379
757.190396,0.100418379
758.7054335,0.100418379
760.2204709,0.100418379
761.7355084,0.100418379
763.2505458,0.100418379
764.7655833,0.100567311
766.2806207,0.100567311
767.7956582,0.099673721
769.3106956,0.099226926
770.8257331,0.098780131
772.3407705,0.098631199
773.8558079,0.098631199
775.3708454,0.098631199
776.8858828,0.099077994
778.4009203,0.098780131
779.9159577,0.098631199
781.4309952,0.098631199
782.9460326,0.098780131
