WL,RAD
470.1148351,0.241389402
470.6308572,0.238078005
471.5338959,0.21857756
471.9209125,0.209747169
472.5229383,0.201652645
472.9529568,0.19981298
472.9529568,0.195397785
473.0819623,0.191166556
473.3399734,0.184359797
473.4689789,0.179944601
473.72699,0.171252186
473.72699,0.176265272
474.2430121,0.165717861
476.1780951,0.150326
476.6941172,0.146830637
477.2101393,0.143519241
477.7261614,0.140023878
478.7582057,0.13524075
479.7902499,0.131009521
481.5963274,0.121811197
483.264177,0.118343195
485.3388658,0.116370809
487.4135546,0.118343195
488.6916316,0.121075332
490.3687035,0.126594326
491.2717423,0.130151011
492.174781,0.13468885
492.9488142,0.139839911
494.2388695,0.148118402
494.7548916,0.154127974
495.3999193,0.164859351
496.302958,0.173321809
496.9479856,0.178350225
498.6250576,0.197605382
499.7861073,0.209011303
501.5921848,0.225016386
502.2372124,0.23421471
502.624229,0.238445938
503.0542475,0.244210221
503.1402512,0.251323591
503.3982622,0.254451021
503.6562733,0.258176342
503.9142844,0.264201244
504.6367153,0.271118383
504.9463286,0.27830534
505.7203618,0.284805488
506.7524061,0.296211409
507.0104171,0.303324779
507.6554448,0.310928727
508.687489,0.321598782
509.0745056,0.324174313
509.3325167,0.331900904
509.8485388,0.336684032
510.2355554,0.341835093
510.7085757,0.349071108
511.3966052,0.360599673
511.9126273,0.369430064
512.4286494,0.378383099
513.2026826,0.385987046
513.7187048,0.39150604
515.5247822,0.406223357
517.4598652,0.421860507
518.1048928,0.426459669
518.4919094,0.430506931
519.9170124,0.443786982
521.9750588,0.460309499
522.4910809,0.463252963
524.4691657,0.474904172
525.2001971,0.47824623
525.7162192,0.482753408
527.6513022,0.491583799
528.6833464,0.498574524
531.1344515,0.503725586
532.2955013,0.506669049
534.2305843,0.510532345
537.4557226,0.513880535
539.3908056,0.517339104
541.8419107,0.521141078
545.4540656,0.526292139
548.2921872,0.525065696
549.0662204,0.525065696
551.2593145,0.525065696
555.258486,0.526537428
556.9785597,0.528377092
558.0966077,0.529971468
559.5156685,0.529848824
562.4827957,0.53058469
563.6438455,0.530768656
564.9339008,0.528009159
567.1269949,0.528818612
569.9651166,0.526905361
571.9001995,0.525433629
573.1902549,0.524881729
574.7383212,0.517707037
576.0283766,0.516419272
577.9634595,0.514984333
578.7374927,0.514763574
581.0595923,0.51182011
584.155725,0.504461451
587.5958726,0.497102793
588.6709187,0.493699413
591.2510293,0.487904469
593.0571067,0.481465643
594.347162,0.476498548
595.3792063,0.469323856
595.9597312,0.464356761
597.0562782,0.460309499
598.6043446,0.455250421
599.7653944,0.449639444
601.3564626,0.444365738
602.4745105,0.441176986
603.2485437,0.438233523
604.7966101,0.433450395
605.8286544,0.428421978
606.6026876,0.417629278
608.9247871,0.409902687
610.9888756,0.401440229
612.0209199,0.395062725
612.7949531,0.391873973
613.8269973,0.386354979
615.6330748,0.377892521
616.9231301,0.369552708
617.5681577,0.360599673
618.2131854,0.35765621
620.2772739,0.346618222
621.3093182,0.339995429
622.4703679,0.334108502
624.4054509,0.324174313
625.9535173,0.316447721
626.598545,0.313688224
627.2435726,0.310560794
628.2756169,0.304060645
629.3076611,0.293635879
631.3717496,0.28370169
632.6618049,0.277078897
635.2419156,0.262545546
638.0800373,0.248380128
638.8540705,0.243964932
639.8861147,0.239181804
641.3051756,0.233294877
641.9502032,0.228389105
642.6382327,0.219804003
644.0142917,0.213426499
647.3684356,0.199199758
650.4645683,0.187425904
651.8836292,0.181968233
654.5927453,0.170500989
655.1087675,0.167434882
656.0118062,0.161547955
656.9148449,0.158604491
658.0758947,0.154373262
659.1079389,0.150509967
661.559044,0.143151308
663.2791178,0.136037938
664.3971657,0.133125135
665.6872211,0.129783078
666.8482708,0.12585846
668.1383262,0.121719214
668.7833538,0.119971533
670.0734091,0.112244941
670.9764479,0.110773209
673.1695419,0.104150417
677.6847355,0.092560529
678.8457853,0.090904831
683.3609789,0.080050809
684.9090453,0.07581958
690.1982721,0.066621257
694.068438,0.06073433
696.1325265,0.056760654
697.2935763,0.054847403
702.5828031,0.045771724
705.5499303,0.042889583
709.8071129,0.037922488
713.4192678,0.034905438
714.193301,0.034243159
716.4293968,0.032035561
719.0955112,0.028724165
721.6756218,0.0268845
723.7397103,0.025780701
725.0297656,0.024676902
727.1798578,0.023327815
727.8678873,0.023205171
729.8029703,0.021733439
733.200116,0.020261707
736.2532469,0.017870143
741.2844626,0.015846512
742.832529,0.015110646
746.0580913,0.013806706
749.5159059,0.013806706
