Site,Lat,Lon,Color,VWC,SWC_sat,SWC,ID,WL,Albedo,Ref
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1390.84507,0.1943396226,19.43396226
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1408.450704,0.1830188679,18.30188679
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1447.183099,0.1754716981,17.54716981
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1482.394366,0.1880503145,18.80503145
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1528.169014,0.2056603774,20.56603774
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1570.422535,0.2308176101,23.08176101
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1602.112676,0.2283018868,22.83018868
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1626.760563,0.2320754717,23.20754717
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1676.056338,0.2371069182,23.71069182
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1718.309859,0.2396226415,23.96226415
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1767.605634,0.2358490566,23.58490566
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1809.859155,0.2333333333,23.33333333
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1841.549296,0.2308176101,23.08176101
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1852.112676,0.2220125786,22.20125786
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1869.71831,0.2056603774,20.56603774
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1873.239437,0.1955974843,19.55974843
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1880.28169,0.1842767296,18.42767296
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1894.366197,0.1805031447,18.05031447
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1915.492958,0.1729559748,17.29559748
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1926.056338,0.1452830189,14.52830189
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1929.577465,0.1578616352,15.78616352
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1933.098592,0.1352201258,13.52201258
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1943.661972,0.1188679245,11.88679245
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1957.746479,0.1075471698,10.75471698
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,1985.915493,0.1176100629,11.76100629
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2003.521127,0.1301886792,13.01886792
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2028.169014,0.1528301887,15.28301887
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2045.774648,0.1716981132,17.16981132
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2070.422535,0.179245283,17.9245283
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2130.28169,0.1981132075,19.81132075
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2154.929577,0.2006289308,20.06289308
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2197.183099,0.2031446541,20.31446541
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2260.56338,0.1981132075,19.81132075
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2288.732394,0.1880503145,18.80503145
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2309.859155,0.1805031447,18.05031447
Morris,45.5919,-95.9189,18,0.45,0.42590487,0.1916571915,2,2341.549296,0.1729559748,17.29559748
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,450.7042254,0.02452830189,2.452830189
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,507.0422535,0.02578616352,2.578616352
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,573.943662,0.02955974843,2.955974843
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,640.8450704,0.03459119497,3.459119497
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,700.7042254,0.04339622642,4.339622642
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,767.6056338,0.0572327044,5.72327044
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,823.943662,0.06855345912,6.855345912
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,894.3661972,0.07987421384,7.987421384
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,971.8309859,0.09622641509,9.622641509
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1045.774648,0.1125786164,11.25786164
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1119.71831,0.1251572327,12.51572327
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1197.183099,0.1402515723,14.02515723
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1260.56338,0.1528301887,15.28301887
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1306.338028,0.1566037736,15.66037736
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1359.15493,0.1528301887,15.28301887
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1380.28169,0.1339622642,13.39622642
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1404.929577,0.1125786164,11.25786164
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1447.183099,0.1075471698,10.75471698
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1507.042254,0.1226415094,12.26415094
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1570.422535,0.1477987421,14.77987421
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1651.408451,0.1641509434,16.41509434
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1711.267606,0.1691823899,16.91823899
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1767.605634,0.1603773585,16.03773585
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1809.859155,0.1566037736,15.66037736
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1848.591549,0.1452830189,14.52830189
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1859.15493,0.1251572327,12.51572327
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1873.239437,0.1075471698,10.75471698
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1897.887324,0.1,10
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1919.014085,0.08490566038,8.490566038
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1929.577465,0.06226415094,6.226415094
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1943.661972,0.04968553459,4.968553459
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,1978.873239,0.05094339623,5.094339623
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2017.605634,0.06352201258,6.352201258
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2073.943662,0.09245283019,9.245283019
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2133.802817,0.1113207547,11.13207547
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2176.056338,0.1201257862,12.01257862
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2221.830986,0.1201257862,12.01257862
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2271.126761,0.113836478,11.3836478
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2302.816901,0.1012578616,10.12578616
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2338.028169,0.08867924528,8.867924528
Morris,45.5919,-95.9189,18,1,0.42590487,0.42590487,3,2373.239437,0.07735849057,7.735849057
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,456.7063042,0.1345255359,13.45255359
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,489.9807525,0.1392082158,13.92082158
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,510.0456139,0.1510652042,15.10652042
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,533.5117462,0.1700569515,17.00569515
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,547.0904633,0.1962150974,19.62150974
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,563.8990693,0.2140322198,21.40322198
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,570.7938935,0.2366348512,23.66348512
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,580.9845229,0.256848683,25.6848683
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,594.5764231,0.2841972737,28.41972737
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,614.7599336,0.3067682654,30.67682654
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,638.1865162,0.3221886783,32.21886783
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,658.3041105,0.3388074459,33.88074459
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,695.0984787,0.3613388879,36.13388879
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,718.5250613,0.3767593008,37.67593008
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,761.9242228,0.3957035885,39.57035885
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,795.2382208,0.4039576028,40.39576028
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,848.4325151,0.4074023783,40.74023783
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,888.3513065,0.4120692383,41.20692383
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,944.9996045,0.4274105518,42.74105518
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,984.9974952,0.4392200807,43.92200807
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1024.995386,0.4510296095,45.10296095
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1055.000395,0.4604819785,46.04819785
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1138.239249,0.4769504575,47.69504575
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1174.875419,0.4851965618,48.51965618
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1234.753606,0.4921968518,49.21968518
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1297.927598,0.4968083423,49.68083423
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1351.095526,0.4978722282,49.78722282
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1380.902787,0.4894679252,48.94679252
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1394.099191,0.4811031719,48.11031719
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1430.708994,0.4869683866,48.69683866
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1470.693701,0.4975874707,49.75874707
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1517.243652,0.501048066,50.1048066
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1567.089409,0.5021198618,50.21198618
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1597.002136,0.5032391173,50.32391173
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1630.250218,0.5055409075,50.55409075
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1656.814407,0.5042871833,50.42871833
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1706.673346,0.5065494239,50.65494239
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1733.224352,0.5041052548,50.41052548
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1769.755056,0.5028278008,50.28278008
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1816.265457,0.5027170617,50.27170617
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1819.587629,0.5027091518,50.27091518
Watkinsville,33.8629,-83.4088,8,0,0.424253,0,4,1882.708888,0.5025588631,50.25588631
